block,total_hr,ID_NCBA_BLOCK,ID_BLOCK_CODE,PRIORITY_BLOCK
ELK_PARK-SW,4.1,ELK_PARK-SW,36081B8SW,0
ELKIN_NORTH-CE,0.2,ELKIN_NORTH-CE,36080C7CE,0
ELKIN_NORTH-CW,5.0,ELKIN_NORTH-CW,36080C7CW,0
ELKIN_NORTH-NE,0.1,ELKIN_NORTH-NE,36080C7NE,0
ELKIN_NORTH-NW,0.3,ELKIN_NORTH-NW,36080C7NW,0
ELKIN_NORTH-SE,0.3,ELKIN_NORTH-SE,36080C7SE,1
ELKIN_NORTH-SW,26.2,ELKIN_NORTH-SW,36080C7SW,0
ELKIN_SOUTH-CE,0.1,ELKIN_SOUTH-CE,36080B7CE,0
ELKIN_SOUTH-CW,0.7,ELKIN_SOUTH-CW,36080B7CW,0
ELKIN_SOUTH-NE,0.0,ELKIN_SOUTH-NE,36080B7NE,0
ELKIN_SOUTH-NW,57.8,ELKIN_SOUTH-NW,36080B7NW,0
ELKIN_SOUTH-SE,0.1,ELKIN_SOUTH-SE,36080B7SE,1
ELKIN_SOUTH-SW,0.1,ELKIN_SOUTH-SW,36080B7SW,0
AUTRYVILLE-NE,0.0,ELLENDALE-CE,35081H3CE,0
ELLENDALE-NE,0.2,ELLENDALE-NE,35081H3NE,0
ELLENDALE-SE,1.9,ELLENDALE-SE,35081H3SE,1
ELLENDALE-SW,0.0,ELLENDALE-SW,35081H3SW,0
ELLERBE-CE,0.0,ELLERBE-CE,35079A7CE,0
ELLERBE-CW,0.0,ELLERBE-CW,35079A7CW,0
ELLERBE-NE,0.7,ELLERBE-NE,35079A7NE,0
ELLERBE-SE,0.0,ELLERBE-SE,35079A7SE,1
ELLISBORO-CE,0.3,ELLISBORO-CE,36079C8CE,0
ELLISBORO-CW,0.0,ELLISBORO-CW,36079C8CW,0
ELLISBORO-NE,0.6,ELLISBORO-NE,36079C8NE,0
ELLISBORO-NW,5.4,ELLISBORO-NW,36079C8NW,0
ELLISBORO-SE,0.3,ELLISBORO-SE,36079C8SE,1
ELLISBORO-SW,0.1,ELLISBORO-SW,36079C8SW,0
ELM_CITY-CE,0.3,ELM_CITY-CE,35077G7CE,0
